users,v_title,Liked
Rajveer,Indian Background Flute Music: Instrumental Meditation Music | Yoga Music | Spa Music for Relaxation,1
Rajveer,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",0
Rajveer,Classical Indian Music,1
Rajveer,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan",1
Rajveer,Hindi Songs Unforgettable Golden Hits| Kumar Sanu_Alka Yagnik_Sonu Nigam_Kavita Krishanamurty_Udit N,1
Rajveer,Nina Burmi | Mishra Bhairavi Thumri | Indian Classical Music,1
Rajveer,Top 5 Bollywood Dance Songs | [Traditional Hits] | JukeBox,1
Rajveer,"BEST Of Bollywood Old Hindi Songs, Romantic Heart Songs_ Kumar Sanu, Alka Yagnik, Lata Mangeshkar",1
Rajveer,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",1
Rajveer,Bollywood Hits Songs 2021 💖 New Hindi Song 2021 💖 Top Bollywood Romantic Love Songs.,1
Rajveer,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,1
Rajveer,"Dil 1990 Songs  Aamir Khan, Madhuri Dixit  Popular 90&#39;s Songs  INDIAN MUSIC",1
Rajveer,Hit song 1999 ke,1
Rajveer,NEW BOLLYWOOD HINDI SONGS 2019 | VIDEO JUKEBOX | Top Bollywood Songs 2019,1
Rajveer,"Jaan Tere Naam Jukebox - Full Album Songs | Ronit Roy, Farheen, Nadeem Shravan",1
Rajveer,"Dilwale Lyrical Songs Jukebox With Dialogues | Ajay Devgan, Raveena Tandon | INDIAN MUSIC",1
Rajveer,Indian Tabla + Hang Drum Music || Positive Energy Beats || Yoga Music || Instrumental Music,1
Rajveer,Old Vs New Bollywood Mashup Songs 2021 | Old Hindi Songs Mashup Live_Romantic Songs_BoLLyWoOd MaSHuP,1
Rajveer,New Bollywood Songs 2018 - Top Hindi Songs 2018 (Trending Indian Music ),1
Rajveer,Traditional Hindu Music | Madhyalaya | Instrumental Indian Music,1
Rajveer,"Sapne Sajan Ke Movie All Songs Jukebox | Rahul Roy, Karisma Kapoor, Jackie Shroff | INDIAN MUSIC",0
Rajveer,Exquisite Afternoon Raag Bhimpalasi | Kaushiki Chakraborty | Patiala Khayal | Music of India,1
Rajveer,Old Hindi SONGS Unforgettable Golden Hits _ Ever Romantic Songs || Best Indian Songs | Eric Davis,1
Rajveer,Bhai Bhai Song | Bhuj: The Pride Of India |Sanjay D.| Mika S | Lijo George - DJ Chetas| Manoj M,1
Rajveer,Old Vs New Bollywood Mashup 2021 | Top 100 Hindi Romantic Songs - Indian mashup  \ Party Mashup 2021,0
Rajveer,Indian Flute Meditation Music || Pure Positive Vibes || Instrumental Music for Meditation and Yoga,1
Rajveer,"Sajan Movie all Songs Jukebox | Evergreen Hits Songs | Madhuri Dixit, Salman Khan, Sanjay dutt",1
Rajveer,Daler Mehndi - Tunak Tunak Tun Video,0
Rajveer,Indian Sitar Instrumental Music 10 Hours,0
Rajveer,Gadar Movie All Songs jukebox  | 90s Hit songs |  Hindi songs jukebox,1
Rajveer,"Native American Indian Meditation Music: Shamanic Flute Music, Healing Music, Calming Music",0
Rajveer,Panjabi MC - Mundian To Bach Ke (The Dictator Soundtrack),0
Rajveer,#teaser #shortclip3 #hindustaniclassicalraga #Indianmusic #Classicalmusic #VedangDharashive #music,1
Rajveer,Throwback Indian Remix (Bass Up Edition),0
Rajveer,Top 75 Most Viewed Indian Songs on Youtube of All Time | Most Watched Indian Songs,1
Rajveer,अच्छा Harmonium में कितना Keys और कितना Reed होना चाहिए | Indian Music ART,1
Rajveer,Yesu Mere | New Hindi Christian Song | Shirin George | Pr. Wilson George | Vijay Baisil ©,0
Rajveer,Hits of 60&#39;s Hindi Song Collection (1960-1969) | Non Stop Evergreen Love Songs,1
Rajveer,"Hindi Melody Songs | Sadabahar Gana : kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",1
Rajveer,"OFFICIAL: &#39;India Waale&#39; FULL VIDEO Song |Happy New Year | Shah Rukh Khan, Deepika Padukone",1
Rajveer,This song makes me cry! The Last of the Mohicans THE BEST EVER! by Alexandro Querevalú,1
Rajveer,Despacito - Indian Classical Version (feat. Praveen Prathapan &amp; Janan Sathiendran),1
Rajveer,"Dilwale Dulhania Le Jayenge All Songs Jukebox | Shahrukh Khan, Kajol",1
Rajveer,NEW BOLLYWOOD HINDI SONGS 2018 | VIDEO JUKEBOX | Latest Bollywood Songs 2018,1
Rajveer,Best Of 60s &amp; 70s | Evergreen Hindi Songs |Purane Gaane | Dosti |Jeevan Mrityu |Chitchor | Old Songs,1
Rajveer,"Tum Bin Movie All Songs Jukebox | Priyanshu Chatterjee, Sandali Sinha | INDIAN MUSIC",1
Rajveer,INDIA CHILLOUT MUSIC MIX 2019 (Ishvari),0
Rajveer,Emayya Rama: Vizag Labs | Indian Classical Music,1
Rajveer,"Har Dil Jo Pyar Karega 4k Hd Video Song | Salman Khan, Rani Mukherjee | Alka Yagnik, Udit Narayan",1
Rajveer,Hindi Rhymes for Children &amp; Baby Songs Collection | Infobells,0
Rajveer,v_title,1
Rajveer,Best of Arijit Singh  l Arijit Singh Romantic Hindi Songs l Arijit Singh New Songs l Audio Jukebox,1
Rajveer,Best of Arijit Singhs 2019 | Arijit Singh Hits Songs | Latest Bollywood Songs | Indian Songs,1
Rajveer,Arijit Singh With His Soulful Performance Mirchi Music Awards HD *High Quality* with Mp3 LINK,1
Rajveer,Shayad - Love Aaj Kal | Kartik | Sara | Arushi | Pritam | Arijit Singh,1
Rajveer,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",1
Rajveer,"Chhod Diya (Lyrics) - Arijit Singh, Kanika Kapoor | Baazaar",1
Rajveer,Arijit Singh Live MTV India Tour | Mumbai Highlights | 1080p FULL HD,1
Rajveer,Hamdard Full Video Song | Ek Villain | Arijit Singh | Mithoon,1
Rajveer,Arijit Singh with his soulful performance | 6th Royal Stag Mirchi Music Awards | Radio Mirchi,1
Rajveer,Arijit Singh live lockdown Virtual Concert 2021 | Helping Rural India | Full live concert,1
Rajveer,Jaan Nisaar - Lyrical | Kedarnath| Arijit Singh | Sushant Singh Rajput | Sara Ali Khan| Amit Trivedi,1
Rajveer,"Arijit Singh: Pachtaoge | Vicky Kaushal, Nora Fatehi |Jaani, B Praak, Arvindr Khaira | Bhushan Kumar",1
Rajveer,"Lyrical: Thodi Jagah Video | Riteish D, Sidharth M, Tara S | Arijit Singh | Tanishk Bagchi",1
Rajveer,"Hawayein Lyric Video - Jab Harry Met Sejal|Shah Rukh Khan, Anushka|Arijit Singh|Pritam",1
Rajveer,"Jo Bheji Thi Duaa - Arijit Singh | Nandini Srikar, Kumaar | Vishal-Shekhar | Shanghai",1
Rajveer,"Kalank Title Track - Lyrical | Alia Bhatt , Varun Dhawan | Arijit Singh | Pritam| Amitabh",1
Rajveer,"Arijit Singh : Lambiyaan Si Judaiyaan  Full Song | Raabta | Sushant Rajput, Kriti Sanon | T-Series",1
Rajveer,"Full Song: Tujhe Kitna Chahne Lage | Kabir Singh | Mithoon Feat. Arijit Singh | Shahid K, Kiara A",1
Rajveer,Agar Tum Saath Ho - Full Song - ALKA YAGNIK and ARIJIT SINGH,1
Rajveer,"Dil Na Jaaneya - Arijit Singh | Good Newwz | Akshay Kumar, Kareena Kapoor, Diljit, Kiara | Rochak K",1
Rajveer,ARIJIT SINGH BEST HEART TOUCHING SONGS | TOP 15 SAD SONGS OF ARIJIT SINGH@Sweet Bhavika,1
Rajveer,Neha Kakkar | Tribute to Arijit Singh | Vibhor Parashar | Kunal Pandit | Smule Mirchi Music Awards,1
Rajveer,"Salamat Lyrics | Sarbjit | Amaal Mallik, Arijit Singh &amp; Tulsi Kumar",1
Rajveer,"Jo Tum Aa Gaye Ho - Toofaan | Farhan Akhtar,Mrunal T|Arijit Singh|Samuel,Akanksha|Javed Akhtar,Manoj",1
Rajveer,Tomake Chai (তোমাকে চাই ) | Gangster | Arijit Singh | Arindom | Yash | Mimi | Birsa Dasgupta | SVF,0
Rajveer,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma, Ishita Chauhan | Arijit Singh | Himesh Reshammiya",1
Rajveer,Ananya - Toofaan | Farhan Akhtar &amp; Mrunal Thakur | Arijit Singh | Shankar Ehsaan Loy | Javed Akhtar,1
Rajveer,Best Of Arijit Singh And Atif Aslam Songs 2019 | NEW HINDI ROMANTIC LOVE SONGS | Bollywood SonGS,1
Rajveer,"Haan Main Galat - Love Aaj Kal | Kartik, Sara | Pritam | Arijit Singh | Shashwat",1
Rajveer,"Chal Wahan Jaate Hain Full VIDEO Song - Arijit Singh | Tiger Shroff, Kriti Sanon | T-Series",1
Rajveer,How to Sing by Arijit Singh for New Singer  basic Technic for new Singers 2019,1
Rajveer,Best of Arijit Singh 2020 | 80 Super Hit Songs Jukebox | 6 hours non stop,1
Rajveer,"Bollywood New Songs 2021 💖 Jubin Nautyal, Arijit Singh, Atif Aslam,Neha Kakkar 💖 Hindi Songs.",1
Rajveer,"AGAR TUM SAATH HO (LYRICS) | ARIJIT SINGH, ALKA YAGNIK | RANBIR K, DEEPIKA P | A.R REHMAN, IRSHAAD K",1
Rajveer,Main Tera Hero | Shanivaar Raati | Full Video Song | Arijit Singh | Varun Dhawan,1
Rajveer,"ARIJIT SINGH VERSION: Bekhayali Full Song | Kabir Singh | Shahid K,Kiara A | Sandeep Reddy V| Irshad",1
Rajveer,"Mast Magan - Arijit Singh, Chinmayi Sripada [WORMONO Lofi Remake] | 2 States | Bollywood Lofi",1
Rajveer,Jaan Nisaar - Arijit Singh [WORMONO Lofi Remake] | Kedarnath | Bollywood Lofi,1
Rajveer,Kabhi Jo Badal Barse | Breakup | Dj Seenu KGP | Love Mix | Arijit Singh | BASS CRACKERS,1
Rajveer,Neki Ki Raah (LYRICS) - Arijit Singh Ft. Mithoon,1
Rajveer,Arijit Singh&#39;s NEW SOULFUL Performance on Facebook Live 2021 | Indian American Reactions !!,1
Rajveer,"Mast Magan FULL Video Song | 2 States | Arijit Singh | Arjun Kapoor, Alia Bhatt",1
Rajveer,Khairiyat Puncho | Dj Remix | Arijit Singh | Sushant Singh | #Heart #Toching #Love Song | T M Series,1
Rajveer,ARIJIT SINGH JUKEBOX 2016-2017| BEST OF ARIJIT SINGH| TOP 20 SONGS OF ARIJIT|,1
Rajveer,Muskurane Lirik dan Artinya - Arijit Singh,0
Rajveer,"New Hindi  Songs 2021 - Jubin Nautyal, Arijit Singh, Armaan Malik,Atif Aslam,Neha Kakkar",1
Rajveer,450K Special Montage | Jaan Nisar | Arijit Singh | Best Ever | Pubg Mobile,0
Rajveer,"Sajde | Full Song | Kill Dil | Ranveer, Parineeti, Arijit Singh, Nihira | Shankar-Ehsaan-Loy, Gulzar",1
Rajveer,Qaafirana | Kedarnath | Sushant Rajput | Sara Ali Khan | Arijit Singh &amp; Nikhita | Amit Trivedi,1
Rajveer,Gerua - Arijit Singh (lirik terjemahan indonesia),0
Rohit,Indian Background Flute Music: Instrumental Meditation Music | Yoga Music | Spa Music for Relaxation,1
Rohit,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",0
Rohit,Classical Indian Music,1
Rohit,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan",1
Rohit,Hindi Songs Unforgettable Golden Hits| Kumar Sanu_Alka Yagnik_Sonu Nigam_Kavita Krishanamurty_Udit N,1
Rohit,Nina Burmi | Mishra Bhairavi Thumri | Indian Classical Music,1
Rohit,Top 5 Bollywood Dance Songs | [Traditional Hits] | JukeBox,1
Rohit,"BEST Of Bollywood Old Hindi Songs, Romantic Heart Songs_ Kumar Sanu, Alka Yagnik, Lata Mangeshkar",1
Rohit,"Hindi Melody Songs | Superhit Hindi Song | kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",1
Rohit,Bollywood Hits Songs 2021 💖 New Hindi Song 2021 💖 Top Bollywood Romantic Love Songs.,1
Rohit,Nadiyon Paar - Full Song - Roohi | Janhvi Kapoor| Sachin-Jigar | Shamur | Rashmeet K,1
Rohit,"Dil 1990 Songs  Aamir Khan, Madhuri Dixit  Popular 90&#39;s Songs  INDIAN MUSIC",1
Rohit,Hit song 1999 ke,1
Rohit,NEW BOLLYWOOD HINDI SONGS 2019 | VIDEO JUKEBOX | Top Bollywood Songs 2019,1
Rohit,"Jaan Tere Naam Jukebox - Full Album Songs | Ronit Roy, Farheen, Nadeem Shravan",1
Rohit,"Dilwale Lyrical Songs Jukebox With Dialogues | Ajay Devgan, Raveena Tandon | INDIAN MUSIC",1
Rohit,Indian Tabla + Hang Drum Music || Positive Energy Beats || Yoga Music || Instrumental Music,1
Rohit,Old Vs New Bollywood Mashup Songs 2021 | Old Hindi Songs Mashup Live_Romantic Songs_BoLLyWoOd MaSHuP,1
Rohit,New Bollywood Songs 2018 - Top Hindi Songs 2018 (Trending Indian Music ),1
Rohit,Traditional Hindu Music | Madhyalaya | Instrumental Indian Music,1
Rohit,"Sapne Sajan Ke Movie All Songs Jukebox | Rahul Roy, Karisma Kapoor, Jackie Shroff | INDIAN MUSIC",0
Rohit,Exquisite Afternoon Raag Bhimpalasi | Kaushiki Chakraborty | Patiala Khayal | Music of India,1
Rohit,Old Hindi SONGS Unforgettable Golden Hits _ Ever Romantic Songs || Best Indian Songs | Eric Davis,1
Rohit,Bhai Bhai Song | Bhuj: The Pride Of India |Sanjay D.| Mika S | Lijo George - DJ Chetas| Manoj M,1
Rohit,Old Vs New Bollywood Mashup 2021 | Top 100 Hindi Romantic Songs - Indian mashup  \ Party Mashup 2021,0
Rohit,Indian Flute Meditation Music || Pure Positive Vibes || Instrumental Music for Meditation and Yoga,1
Rohit,"Sajan Movie all Songs Jukebox | Evergreen Hits Songs | Madhuri Dixit, Salman Khan, Sanjay dutt",1
Rohit,Daler Mehndi - Tunak Tunak Tun Video,0
Rohit,Indian Sitar Instrumental Music 10 Hours,0
Rohit,Gadar Movie All Songs jukebox  | 90s Hit songs |  Hindi songs jukebox,1
Rohit,"Native American Indian Meditation Music: Shamanic Flute Music, Healing Music, Calming Music",0
Rohit,Panjabi MC - Mundian To Bach Ke (The Dictator Soundtrack),0
Rohit,#teaser #shortclip3 #hindustaniclassicalraga #Indianmusic #Classicalmusic #VedangDharashive #music,1
Rohit,Throwback Indian Remix (Bass Up Edition),0
Rohit,Top 75 Most Viewed Indian Songs on Youtube of All Time | Most Watched Indian Songs,1
Rohit,अच्छा Harmonium में कितना Keys और कितना Reed होना चाहिए | Indian Music ART,1
Rohit,Yesu Mere | New Hindi Christian Song | Shirin George | Pr. Wilson George | Vijay Baisil ©,0
Rohit,Hits of 60&#39;s Hindi Song Collection (1960-1969) | Non Stop Evergreen Love Songs,1
Rohit,"Hindi Melody Songs | Sadabahar Gana : kumar sanu, alka yagnik &amp; udit narayan | #musical_masti",1
Rohit,"OFFICIAL: &#39;India Waale&#39; FULL VIDEO Song |Happy New Year | Shah Rukh Khan, Deepika Padukone",1
Rohit,This song makes me cry! The Last of the Mohicans THE BEST EVER! by Alexandro Querevalú,1
Rohit,Despacito - Indian Classical Version (feat. Praveen Prathapan &amp; Janan Sathiendran),1
Rohit,"Dilwale Dulhania Le Jayenge All Songs Jukebox | Shahrukh Khan, Kajol",1
Rohit,NEW BOLLYWOOD HINDI SONGS 2018 | VIDEO JUKEBOX | Latest Bollywood Songs 2018,1
Rohit,Best Of 60s &amp; 70s | Evergreen Hindi Songs |Purane Gaane | Dosti |Jeevan Mrityu |Chitchor | Old Songs,1
Rohit,"Tum Bin Movie All Songs Jukebox | Priyanshu Chatterjee, Sandali Sinha | INDIAN MUSIC",1
Rohit,INDIA CHILLOUT MUSIC MIX 2019 (Ishvari),0
Rohit,Emayya Rama: Vizag Labs | Indian Classical Music,1
Rohit,"Har Dil Jo Pyar Karega 4k Hd Video Song | Salman Khan, Rani Mukherjee | Alka Yagnik, Udit Narayan",1
Rohit,Hindi Rhymes for Children &amp; Baby Songs Collection | Infobells,0
Rohit,v_title,1
Rohit,Best of Arijit Singh  l Arijit Singh Romantic Hindi Songs l Arijit Singh New Songs l Audio Jukebox,1
Rohit,Best of Arijit Singhs 2019 | Arijit Singh Hits Songs | Latest Bollywood Songs | Indian Songs,1
Rohit,Arijit Singh With His Soulful Performance Mirchi Music Awards HD *High Quality* with Mp3 LINK,1
Rohit,Shayad - Love Aaj Kal | Kartik | Sara | Arushi | Pritam | Arijit Singh,1
Rohit,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",1
Rohit,"Chhod Diya (Lyrics) - Arijit Singh, Kanika Kapoor | Baazaar",1
Rohit,Arijit Singh Live MTV India Tour | Mumbai Highlights | 1080p FULL HD,1
Rohit,Hamdard Full Video Song | Ek Villain | Arijit Singh | Mithoon,1
Rohit,Arijit Singh with his soulful performance | 6th Royal Stag Mirchi Music Awards | Radio Mirchi,1
Rohit,Arijit Singh live lockdown Virtual Concert 2021 | Helping Rural India | Full live concert,1
Rohit,Jaan Nisaar - Lyrical | Kedarnath| Arijit Singh | Sushant Singh Rajput | Sara Ali Khan| Amit Trivedi,1
Rohit,"Arijit Singh: Pachtaoge | Vicky Kaushal, Nora Fatehi |Jaani, B Praak, Arvindr Khaira | Bhushan Kumar",1
Rohit,"Lyrical: Thodi Jagah Video | Riteish D, Sidharth M, Tara S | Arijit Singh | Tanishk Bagchi",1
Rohit,"Hawayein Lyric Video - Jab Harry Met Sejal|Shah Rukh Khan, Anushka|Arijit Singh|Pritam",1
Rohit,"Jo Bheji Thi Duaa - Arijit Singh | Nandini Srikar, Kumaar | Vishal-Shekhar | Shanghai",1
Rohit,"Kalank Title Track - Lyrical | Alia Bhatt , Varun Dhawan | Arijit Singh | Pritam| Amitabh",1
Rohit,"Arijit Singh : Lambiyaan Si Judaiyaan  Full Song | Raabta | Sushant Rajput, Kriti Sanon | T-Series",1
Rohit,"Full Song: Tujhe Kitna Chahne Lage | Kabir Singh | Mithoon Feat. Arijit Singh | Shahid K, Kiara A",1
Rohit,Agar Tum Saath Ho - Full Song - ALKA YAGNIK and ARIJIT SINGH,1
Rohit,"Dil Na Jaaneya - Arijit Singh | Good Newwz | Akshay Kumar, Kareena Kapoor, Diljit, Kiara | Rochak K",1
Rohit,ARIJIT SINGH BEST HEART TOUCHING SONGS | TOP 15 SAD SONGS OF ARIJIT SINGH@Sweet Bhavika,1
Rohit,Neha Kakkar | Tribute to Arijit Singh | Vibhor Parashar | Kunal Pandit | Smule Mirchi Music Awards,1
Rohit,"Salamat Lyrics | Sarbjit | Amaal Mallik, Arijit Singh &amp; Tulsi Kumar",1
Rohit,"Jo Tum Aa Gaye Ho - Toofaan | Farhan Akhtar,Mrunal T|Arijit Singh|Samuel,Akanksha|Javed Akhtar,Manoj",1
Rohit,Tomake Chai (তোমাকে চাই ) | Gangster | Arijit Singh | Arindom | Yash | Mimi | Birsa Dasgupta | SVF,0
Rohit,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma, Ishita Chauhan | Arijit Singh | Himesh Reshammiya",1
Rohit,Ananya - Toofaan | Farhan Akhtar &amp; Mrunal Thakur | Arijit Singh | Shankar Ehsaan Loy | Javed Akhtar,1
Rohit,Best Of Arijit Singh And Atif Aslam Songs 2019 | NEW HINDI ROMANTIC LOVE SONGS | Bollywood SonGS,1
Rohit,"Haan Main Galat - Love Aaj Kal | Kartik, Sara | Pritam | Arijit Singh | Shashwat",1
Rohit,"Chal Wahan Jaate Hain Full VIDEO Song - Arijit Singh | Tiger Shroff, Kriti Sanon | T-Series",1
Rohit,How to Sing by Arijit Singh for New Singer  basic Technic for new Singers 2019,1
Rohit,Best of Arijit Singh 2020 | 80 Super Hit Songs Jukebox | 6 hours non stop,1
Rohit,"Bollywood New Songs 2021 💖 Jubin Nautyal, Arijit Singh, Atif Aslam,Neha Kakkar 💖 Hindi Songs.",1
Rohit,"AGAR TUM SAATH HO (LYRICS) | ARIJIT SINGH, ALKA YAGNIK | RANBIR K, DEEPIKA P | A.R REHMAN, IRSHAAD K",1
Rohit,Main Tera Hero | Shanivaar Raati | Full Video Song | Arijit Singh | Varun Dhawan,1
Rohit,"ARIJIT SINGH VERSION: Bekhayali Full Song | Kabir Singh | Shahid K,Kiara A | Sandeep Reddy V| Irshad",1
Rohit,"Mast Magan - Arijit Singh, Chinmayi Sripada [WORMONO Lofi Remake] | 2 States | Bollywood Lofi",1
Rohit,Jaan Nisaar - Arijit Singh [WORMONO Lofi Remake] | Kedarnath | Bollywood Lofi,1
Rohit,Kabhi Jo Badal Barse | Breakup | Dj Seenu KGP | Love Mix | Arijit Singh | BASS CRACKERS,1
Rohit,Neki Ki Raah (LYRICS) - Arijit Singh Ft. Mithoon,1
Rohit,Arijit Singh&#39;s NEW SOULFUL Performance on Facebook Live 2021 | Indian American Reactions !!,1
Rohit,"Mast Magan FULL Video Song | 2 States | Arijit Singh | Arjun Kapoor, Alia Bhatt",1
Rohit,Khairiyat Puncho | Dj Remix | Arijit Singh | Sushant Singh | #Heart #Toching #Love Song | T M Series,1
Rohit,ARIJIT SINGH JUKEBOX 2016-2017| BEST OF ARIJIT SINGH| TOP 20 SONGS OF ARIJIT|,1
Rohit,Muskurane Lirik dan Artinya - Arijit Singh,0
Rohit,"New Hindi  Songs 2021 - Jubin Nautyal, Arijit Singh, Armaan Malik,Atif Aslam,Neha Kakkar",1
Rohit,450K Special Montage | Jaan Nisar | Arijit Singh | Best Ever | Pubg Mobile,0
